file_name,stomata_count,,Notes,,,,Scored by,
BHE_1_ab_1,125,,corners of picture a little fuzzy,,,,Elle,
BHE_1_ab_2,136,,"couple of ""super stomata""",,,,Elle,
BHE_1_ab_3,94,,cool trichomes!,,,,Elle,
BHE_1_ad_1,97,,"sideways trichome? weird circle thingy, not sure if bubble or stomata. couple of black dots, unsure if they're also trichomes",,,,Elle,
BHE_1_ad_2,108,,looks normal,,,,Elle,
BHE_1_ad_3,84,,looks normal,,,,Elle,
BHE_10_ab_1,133,,stomata seem smaller... closer together almost? trichomes,,,,Elle,
BHE_10_ab_2,114,,"trichomes, some bubbles, one weird epidermal cell to the right",,,,Elle,
BHE_10_ab_3,119,,bubbly,,,,Elle,
BHE_10_ad_1,124,,out of focus,,,,Elle,"*did 20 in an hour - includes downloading, saving, and editing spreadsheet"
BHE_10_ad_2,116,,"big bubbles, trichomes",,,,Elle,
BHE_10_ad_3,115,,"very in focus, glandular trichomes",,,,Elle,
BHE_11_ab_1,217,,"in focus, lots of stomata, bottom right edge fuzzy",,,,Elle,
BHE_11_ab_2,211,,bottom left middle blurry,,,,Elle,
BHE_11_ab_3,214,,some blurriness bc of trichomes... ,,,,Elle,
BHE_11_ad_1,156,,big glandular trichomes,,,,Elle,
BHE_11_ad_2,198,,big glandular trichomes,,,,Elle,
BHE_11_ad_3,201,,corners blurry,,,,Elle,
BHE_12_ab_1,154,,bubbles or stomata??,,,,Elle,
BHE_12_ab_2,166,,normal ,,,,Elle,
BHE_12_ab_3,136,,"bubbly, trichomes",,,,Elle,
BHE_12_ad_1,131,,bubbly but normal,,,,Elle,
BHE_12_ad_2,127,,"normal, a little fuzzy",,,,Elle,
BHE_12_ad_3,129,,tad bubbly,,,,Elle,
BHE_13_ab_1,137,,bubbles and trichomes,,,,Elle,
BHE_13_ab_2,145,,"giant air bubble, blurry",,,,Elle,
BHE_13_ab_3,146,,"bubbles, fuzzy",,,,Elle,
BHE_13_ad_1,137,,overexposed almost... ,,,,Elle,
BHE_13_ad_2,135,,also overexposed,,,,Elle,
BHE_13_ad_3,120,,"corners fuzzy, resolution okay",,,,Elle,
BHE_14_ab_1,159,,"normal, trichomes",,,,Elle,
BHE_14_ab_2,142,,right side blurry,,,,Elle,
BHE_14_ab_3,142,,"weird resolution, larger bubble",,,,Elle,
BHE_14_ad_1,130,,"odd resolution gradient, giant trichome ",,,,Elle,
BHE_14_ad_2,117,,dark and blurry in middle,,,,Elle,
BHE_14_ad_3,123,,dark and blurry in left middle,,,,Elle,
BHE_15_ab_1,195,,"lighter, harder to see stomata",,,,Elle,
BHE_15_ab_2,217,,"corners blurry, looks like crinkled tissue paper",,,,Elle,
BHE_15_ab_3,180,,"sides blurry, lots of trichomes",,,,Elle,
BHE_15_ad_1,170,,normal,,,,Elle,
BHE_15_ad_2,151,,"normal, trichomes, cool bump in top left corner",,,,Elle,
BHE_15_ad_3,160,,"normal, trichomes",,,,Elle,
BHE_2_ab_1,95,,"normal, cool ridge in top left ",,,,Elle,
BHE_2_ab_2,88,,normal,,,,Elle,
BHE_2_ab_3,91,,normal ,,,,Elle,
BHE_2_ad_1,100,,normal,,,,Elle,
BHE_2_ad_2,82,,normal,,,,Elle,
BHE_2_ad_3,98,,normal,,,,Elle,
BHE_3_ab_1,131,,normal,,,,Elle,
BHE_3_ab_2,149,,kinda blur,,,,Elle,
BHE_3_ab_3,150,,normal,,,,Elle,
BHE_3_ad_1,157,,kinda blur,,,,Elle,
BHE_3_ad_2,157,,kinda blurry,,,,Elle,
BHE_3_ad_3,146,,blurry around edges,,,,Elle,
BHE_4_ab_1,137,,normal,,,,Elle,
BHE_4_ab_2,116,,normal,,,,Elle,
BHE_4_ab_3,139,,top left and bottom right edges blurry,,,,Elle,
BHE_4_ad_1,186,,"trichomes, okay resolution ",,,,Elle,
BHE_4_ad_2,162,,"trichomes, okay resolution ",,,,Elle,
BHE_4_ad_3,169,,"normal, a little fuzzy",,,,Elle,
BHE_5_ab_1,184,,grainy... weird color,,,,Elle,
BHE_5_ab_2,151,,also grainy,,,,Elle,
BHE_5_ab_3,186,,"also weird color and kinda grainy, but usable ",,,,Elle,
BHE_5_ad_1,159,,less grainy but still off,,,,Elle,
BHE_5_ad_2,133,,"less grainy, more defined, tissue-paper-crinkly ",,,,Elle,
BHE_5_ad_3,163,,good resolution,,,,Elle,
BHE_6_ab_1,86,,normal,,,,Elle,
BHE_6_ab_2,68,,"group of bubbles, less stomata than others, good resolution/focus overall",,,,Elle,
BHE_6_ab_3,89,,"large bubbles, less stomata, good focus",,,,Elle,
BHE_6_ad_1,80,,"normal, tissue papery",,,,Elle,
BHE_6_ad_2,78,,"normal, tissue papery",,,,Elle,
BHE_6_ad_3,71,,"very light, tissue papery",,,,Elle,
BHE_7_ab_1,187,,fine,,,,Elle,
BHE_7_ab_2,211,,"normal, trichomes",,,,Elle,
BHE_7_ab_3,202,,smiley face stomata ,,,,Elle,
BHE_7_ad_1,190,,okay image,,,,Elle,
BHE_7_ad_2,127,,good image,,,,Elle,
BHE_7_ad_3,145,,good image,,,,Elle,
BHE_8_ab_1,119,,,,,,Ritta ,
BHE_8_ab_2,109,,,,,,Ritta ,
BHE_8_ab_3,99,,,,,,Ritta ,
BHE_8_ad_1,99,,,,,,Ritta ,
BHE_8_ad_2,91,,blurry corners,,,,ritta ,
BHE_8_ad_3,106,,,,,,,
BHE_9_ab_1,109,,,,,,,
BHE_9_ab_2,93,,,,,,,
BHE_9_ab_3,111,,,,,,,
BHE_9_ad_1,146,,,,,,,
BHE_9_ad_2,164,,,,,,,
BHE_9_ad_3,156,,,,,,,
HEC_1_ab_1,169,,good image,,,,ecm,
HEC_1_ab_2,117,,"good image, some bubbles",,,,,
HEC_1_ab_3,142,,,,,,,
HEC_1_ad_1,380,,,,,,,
HEC_1_ad_2,388,,,,,,,
HEC_10_ab_1,228,,,,,,,
HEC_10_ab_2,202,,,,,,,
HEC_10_ab_3,146,,,,,,,
HEC_10_ad_1,174,,,,,,,
HEC_10_ad_2,199,,,,,,,
HEC_10_ad_3,232,,,,,,,
HEC_11_ab_1,146,,,,,,,
HEC_11_ab_2,144,,,,,,,
HEC_11_ab_3,116,,,,,,,
HEC_11_ad_1,128,,,,,,,
HEC_11_ad_2,121,,,,,,,
HEC_11_ad_3,136,,,,,,,
HEC_12_ab_1,186,,,,,,,
HEC_12_ab_2,180,,,,,,,
HEC_12_ab_3,187,,,,,,,
HEC_12_ad_1,247,,,,,,,
HEC_12_ad_2,217,,,,,,,
HEC_12_ad_3,206,,,,,,,
HEC_13_ab_1,202,,,,,,,
HEC_13_ab_2,131,,,,,,,
HEC_13_ab_3,129,,,,,,,
HEC_13_ad_1,311,,,,,,,
HEC_13_ad_2,290,,,,,,,
HEC_13_ad_3,283,,,,,,,
HEC_14_ab_1,157,,,,,,,
HEC_14_ab_2,150,,,,,,,
HEC_14_ab_3,146,,,,,,,
HEC_14_ad_1,216,,,,,,,
HEC_14_ad_2,217,,,,,,,
HEC_14_ad_3,202,,,,,,,
HEC_15_ab_1,199,,,,,,,
HEC_15_ab_2,187,,,,,,,
HEC_15_ab_3,222,,,,,,,
HEC_15_ad_1,236,,,,,,,
HEC_15_ad_2,241,,,,,,,
HEC_15_ad_3,247,,,,,,,
HEC_2_ab_1,219,,,,,,ecm,
HEC_2_ab_2,227,,,,,,,
HEC_2_ab_3,178,,,,,,,
HEC_2_ad_1,389,,blurry around edge,,,,,
HEC_2_ad_2,418,,*adaxials have so many! kind blurry around edge,,,,,
HEC_2_ad_3,377,,blurry around edge,,,,,
HEC_3_ab_1,206,,blurry around edge,,,,,
HEC_3_ab_2,254,,blurry left edge,,,,,
HEC_3_ab_3,158,,,,,,,
HEC_3_ad_1,361,,,,,,,
HEC_3_ad_2,397,,kinda fuzzy,,,,,
HEC_3_ad_3,375,,fuzzy top ,,,,,
HEC_4_ab_1,223,,,,,,,
HEC_4_ab_2,135,,,,,,,
HEC_4_ab_3,132,,,,,,,
HEC_4_ad_1,393,,right side a little fuzzy,,,,,
HEC_4_ad_2,388,,,,,,,
HEC_4_ad_3,397,,,,,,,
HEC_5_ab_1,216,,,,,,,
HEC_5_ab_2,145,,,,,,,
HEC_5_ab_3,165,,,,,,,
HEC_5_ad_1,249,,,,,,,
HEC_5_ad_2,259,,,,,,,
HEC_5_ad_3,285,,,,,,,
HEC_6_ab_1,150,,,,,,,
HEC_6_ab_2,185,,,,,,,
HEC_6_ab_3,172,,,,,,,
HEC_6_ad_1,213,,,,,,,
HEC_6_ad_2,316,,,,,,,
HEC_6_ad_3,298,,,,,,,
HEC_7_ab_1,244,,,,,,,
HEC_7_ab_2,147,,,,,,,
HEC_7_ab_3,183,,,,,,,
HEC_7_ad_1,294,,,,,,,
HEC_7_ad_2,235,,,,,,,
HEC_7_ad_3,219,,,,,,ecm,
HEC_8_ab_1,237,,,,,,,
HEC_8_ab_2,210,,,,,,,
HEC_8_ab_3,195,,,,,,,
HEC_8_ad_1,413,,,,,,,
HEC_8_ad_2,439,,,,,,,
HEC_8_ad_3,396,,,,,,,
HEC_9_ab_1,330,,,,,,,
HEC_9_ab_2,288,,,,,,,
HEC_9_ab_3,323,,,,,,,
HEC_9_ad_1,245,,,,,,,
HEC_9_ad_2,418,,,,,,,
HEC_9_ad_3,310,,,,,,,
LMC_1_ab_1,139,,,,,,ecm,
LMC_1_ab_2,144,,,,,,,
LMC_1_ab_3,128,,,,,,,
LMC_1_ad_1,163,,,,,,,
LMC_1_ad_2,162,,,,,,,
LMC_1_ad_3,152,,,,,,,
LMC_10_ab_1,83,,blurry corners ,,,,,
LMC_10_ab_2,142,,,,,,,
LMC_10_ab_3,141,,blurry corners,,,,,
LMC_10_ad_1,178,,,,,,,
LMC_10_ad_2,176,,blurry corners,,,,,
LMC_10_ad_3,166,,,,,,,
LMC_11_ab_1,117,,"blurry corner, bad picture",,,,,
LMC_11_ab_2,132,,uneven? bad picture,,,,,
LMC_11_ab_3,57,,"bad picture, empty corners ",,,,,
LMC_11_ad_1,143,,,,,,,
LMC_11_ad_2,85,,blurry corners,,,,,
LMC_11_ad_3,153,,,,,,,
LMC_12_ab_1,85,,,,,,,
LMC_12_ab_2,100,,,,,,,
LMC_12_ab_3,70,,,,,,,
LMC_12_ad_1,117,,,,,,,
LMC_12_ad_2,140,,,,,,,
LMC_12_ad_3,133,,,,,,,
LMC_13_ab_1,101,,,,,,,
LMC_13_ab_2,88,,,,,,,
LMC_13_ab_3,,,Picture not in google drive?,,,,,
LMC_13_ad_1,107,,,,,,,
LMC_13_ad_2,127,,,,,,,
LMC_13_ad_3,123,,,,,,,
LMC_14_ab_1,,,Picture not in drive,,,,,
LMC_14_ab_2,144,,,,,,,
LMC_14_ab_3,105,,,,,,,
LMC_14_ad_1,215,,,,,,,
LMC_14_ad_2,169,,,,,,,
LMC_14_ad_3,203,,,,,,,
LMC_15_ab_1,101,,,,,,,
LMC_15_ab_2,91,,,,,,,
LMC_15_ab_3,98,,,,,,,
LMC_15_ad_1,84,,,,,,,
LMC_15_ad_2,88,,,,,,,
LMC_15_ad_3,77,,,,,,,
LMC_2_ab_1,10,,really bad picture!!,,,,ritta,
LMC_2_ab_2,,,no picture in drive (picture not taken),,,,,
LMC_2_ab_3,,,no picture in drive (picture not taken),,,,,
LMC_2_ad_1,62,,blurry on right side,,,,Jeffrey,
LMC_2_ad_2,54,,"blurry edges, fuzzy picture",,,,,
LMC_2_ad_3,77,,,,,,,
LMC_3_ab_1,124,,,,,,,
LMC_3_ab_2,104,,,,,,,
LMC_3_ab_3,125,,good image,,,,,
LMC_3_ad_1,61,,,,,,,
LMC_3_ad_2,66,,,,,,,
LMC_3_ad_3,62,,,,,,,
LMC_4_ab_1,174,,,,,,,
LMC_4_ab_2,121,,,,,,,
LMC_4_ab_3,102,,,,,,,
LMC_4_ad_1,116,,blurry picture,,,,,
LMC_4_ad_2,123,,,,,,,
LMC_4_ad_3,175,,,,,,,
LMC_5_ab_1,206,,blurry edges,,,,,
LMC_5_ab_2,202,,,,,,,
LMC_5_ab_3,210,,,,,,,
LMC_5_ad_1,200,,,,,,,
LMC_5_ad_2,191,,,,,,,
LMC_5_ad_3,193,,,,,,,
LMC_6_ab_1,113,,,,,,,
LMC_6_ab_2,96,,,,,,,
LMC_6_ab_3,116,,,,,,,
LMC_6_ad_1,126,,,,,,,
LMC_6_ad_2,122,,,,,,,
LMC_6_ad_3,119,,,,,,,
LMC_7_ab_1,190,,,,,,Jeffrey,
LMC_7_ab_2,152,,,,,,,
LMC_7_ab_3,143,,,,,,,
LMC_7_ad_1,189,,,,,,,
LMC_7_ad_2,116,,,,,,,
LMC_7_ad_3,191,,,,,,,
LMC_8_ab_1,93,,,,,,,
LMC_8_ab_2,98,,,,,,,
LMC_8_ab_3,93,,,,,,,
LMC_8_ad_1,51,,,,,,,
LMC_8_ad_2,59,,,,,,,
LMC_8_ad_3,73,,,,,,,
LMC_9_ab_1,77,,blurry top left corner,,,,,
LMC_9_ab_2,88,,,,,,,
LMC_9_ab_3,95,,,,,,,
LMC_9_ad_1,106,,,,,,,
LMC_9_ad_2,108,,,,,,,
LMC_9_ad_3,105,,,,,,,
OAE_1_ab_1,90,,,,,,Jeffrey,
OAE_1_ab_2,86,,,,,,,
OAE_1_ab_3,78,,,,,,,
OAE_1_ad_1,126,,very blurry corners,,,,,
OAE_1_ad_2,130,,very blurry corners,,,,,
OAE_1_ad_3,106,,top right and bottom left not visible,,,,,
OAE_10_ab_1,119,,,,,,,
OAE_10_ab_2,100,,,,,,,
OAE_10_ab_3,79,,,,,,,
OAE_10_ad_1,272,,,,,,,
OAE_10_ad_2,230,,,,,,,
OAE_10_ad_3,201,,,,,,,
OAE_11_ab_1,181,,,,,,,
OAE_11_ab_2,152,,I think several very circular ones are trichomes,,,,,
OAE_11_ab_3,129,,,,,,,
OAE_11_ad_1,248,,,,,,,
OAE_11_ad_2,192,,,,,,,
OAE_11_ad_3,188,,,,,,,
OAE_12_ab_1,100,,,,,,,
OAE_12_ab_2,66,,,,,,,
OAE_12_ab_3,87,,,,,,,
OAE_12_ad_1,112,,,,,,,
OAE_12_ad_2,110,,REVISIT. Image size is smaller than others but superficially looks like scale is the same.,,,,,
OAE_12_ad_3,106,,,,,,,
OAE_13_ab_1,134,,,,,,,
OAE_13_ab_2,176,,,,,,,
OAE_13_ab_3,165,,,,,,,
OAE_13_ad_1,251,,,,,,,
OAE_13_ad_2,221,,,,,,,
OAE_13_ad_3,210,,,,,,,
OAE_14_ab_1,151,,,,,,,
OAE_14_ab_2,147,,,,,,,
OAE_14_ab_3,146,,,,,,,
OAE_14_ad_1,188,,,,,,,
OAE_14_ad_2,188,,,,,,,
OAE_14_ad_3,192,,,,,,,
OAE_2_ab_1,75,,blurry picture,,,,Jeffrey,
OAE_2_ab_2,119,,,,,,,
OAE_2_ab_3,95,,,,,,,
OAE_2_ad_1,91,,,,,,,
OAE_2_ad_2,80,,,,,,,
OAE_2_ad_3,95,,,,,,,
OAE_3_ab_1,75,,,,,,,
OAE_3_ab_2,76,,,,,,,
OAE_3_ab_3,73,,,,,,,
OAE_3_ad_1,112,,blurry top left and bottom right corners,,,,,
OAE_3_ad_2,98,,,,,,,
OAE_3_ad_3,103,,,,,,,
OAE_4_ab_1,306,,blurry right side,,,,,
OAE_4_ab_2,287,,,,,,,
OAE_4_ab_3,280,,,,,,,
OAE_4_ad_1,249,,,,,,,
OAE_4_ad_2,301,,,,,,,
OAE_4_ad_3,288,,,,,,,
OAE_5_ab_1,251,,,,,,,
OAE_5_ab_2,195,,,,,,,
OAE_5_ab_3,163,,,,,,,
OAE_5_ad_1,332,,,,,,,
OAE_5_ad_2,343,,,,,,,
OAE_5_ad_3,,,,,,,,
OAE_6_ab_1,,,,,,,,
OAE_6_ab_2,,,,,,,,
OAE_6_ab_3,,,,,,,,
OAE_6_ad_1,,,,,,,,
OAE_6_ad_2,,,,,,,,
OAE_6_ad_3,,,,,,,,
OAE_7_ab_1,,,,,,,,
OAE_7_ab_2,,,,,,,,
OAE_7_ab_3,,,,,,,,
OAE_7_ad_1,,,,,,,,
OAE_7_ad_2,,,,,,,,
OAE_7_ad_3,,,,,,,,
OAE_9_ab_1,134,,,,,,,
OAE_9_ab_2,133,,,,,,,
OAE_9_ab_3,96,,,,,,,
OAE_9_ad_1,103,,some blurriness at corners and bubbles,,,,,
OAE_9_ad_2,122,,some blurriness and bubbles,,,,,
OAE_9_ad_3,92,,bubbles,,,,,
OPB_1_ab_1,162,,,,,,Katherine,
OPB_1_ab_2,,,,,,,,
OPB_1_ab_3,,,,,,,,
OPB_1_ad_1,209,,blurry right edge,,,,Katherine,
OPB_1_ad_2,,,,,,,,
OPB_1_ad_3,,,,,,,,
OPB_10_ab_1,173,,blurry parts in picture,,,,,
OPB_10_ab_2,133,,,,,,,
OPB_10_ab_3,91,,,,,,,
OPB_10_ad_1,341,,,,,,,
OPB_10_ad_2,444,,,,,,,
OPB_10_ad_3,418,,,,,,,
OPB_11_ab_1,191,,,,,,,
OPB_11_ab_2,189,,,,,,,
OPB_11_ab_3,198,,,,,,,
OPB_11_ad_1,300,,,,,,,
OPB_11_ad_2,337,,,,,,,
OPB_11_ad_3,365,,,,,,,
OPB_12_ab_1,77,,,,,,,
